prjNo,subjectCode,ctitle,psnName,orgName,totalAmt,startEndDate
21125312,B020403,电化学催化,庄林,武汉大学,200,2012-01至2015-12
11125417,A040307,超冷原子和量子信息研究,朱诗亮,华南师范大学,200,2012-01至2015-12
21125208,B010305,不对称催化氢化,周永贵,中国科学院大连化学物理研究所,200,2012-01至2015-12
31125019,C130501,农学-稻类作物种质资源和遗传育种,周奕华,中国科学院遗传与发育生物学研究所,200,2012-01至2015-12
41125017,D0502,海气相互作用和季风,周天军,中国科学院大气物理研究所,200,2012-01至2015-12
31125017,C0713,细胞生物学,周天华,浙江大学,200,2012-01至2015-12
51125021,E0508,塑性加工工艺、模具与装备,周华民,华中科技大学,200,2012-01至2015-12
81125017,H1603,医学遗传学和基因组学,周钢桥,中国人民解放军军事科学院军事医学研究院,200,2012-01至2015-12
21125316,B0203,物理化学,周峰,中国科学院兰州化学物理研究所,200,2012-01至2015-12
41125007,D070107,土壤污染与修复,周东美,中国科学院南京土壤研究所,200,2012-01至2015-12
41125008,D0201,古鸟类学,张福成,中国科学院古脊椎动物与古人类研究所,200,2012-01至2015-12
31125001,C010204,微生物生理与生物化学,张长生,中国科学院南海海洋研究所,200,2012-01至2015-12
81125021,H30,药物化学,张翱,中国科学院上海药物研究所,200,2012-01至2015-12
61125303,F0302,复杂系统渐近行为理论与应用,曾志刚,华中科技大学,200,2012-01至2015-12
61125401,F0402,成品率驱动的纳米尺度集成电路设计方法学研究,曾璇,复旦大学,200,2012-01至2015-12
81125003,H0815,重编程技术在遗传病个体化基因治疗领域的应用研究,曾凡一,上海交通大学,200,2012-01至2015-12
81125010,H0912,神经病学,袁增强,中国科学院生物物理研究所,200,2012-01至2015-12
81125008,H1305,新致聋基因的发现、功能研究及临床应用转化,袁慧军,中国人民解放军总医院,200,2012-01至2015-12
31125018,C0701,细胞生物学,俞立,清华大学,200,2012-01至2015-12
51125010,E0305,高分子复合材料,于中振,北京化工大学,200,2012-01至2015-12
51125032,E1002,废水旋流分离过程中微粒排列与分离强化原理研究,汪华林,华东理工大学,200,2012-01至2015-12
21125523,B040103,分析化学,汪海林,中国科学院生态环境研究中心,200,2012-01至2015-12
71125003,G0209,服务运作管理,万国华,上海交通大学,140,2012-01至2015-12
61125505,F0502,有机聚合物光电子器件,滕枫,北京交通大学,200,2012-01至2015-12
51125034,E0903,水沙运动过程及模拟,唐洪武,河海大学,200,2012-01至2015-12
21125101,B0401,无机化学,孙晓明,北京化工大学,200,2012-01至2015-12
81125005,H0424,精子发生异常与男性不育,孙斐,中国科学技术大学,200,2012-01至2015-12
61125306,F030512,智能系统与飞行器控制,孙长银,东南大学,200,2012-01至2015-12
61125504,F0503,传输与交换光子学,苏翼凯,上海交通大学,200,2012-01至2015-12
11125522,A050303,先进核能系统热工、物理及其耦合,苏光辉,西安交通大学,200,2012-01至2015-12
41125001,D0101,湿地碳、氮循环与全球变化,宋长春,中国科学院东北地理与农业生态研究所,200,2012-01至2015-12
11125419,A040214,计算生物物理,帅建伟,厦门大学,200,2012-01至2015-12
11125526,A050607,强场激光等离子体物理,沈百飞,中国科学院上海光学精密机械研究所,200,2012-01至2015-12
21125207,B070102,具有重要生理活性的天然产物全合成,厍学功,兰州大学,200,2012-01至2015-12
41125018,D0506,大气化学,邵敏,北京大学,200,2012-01至2015-12
31125006,C020406,植物细胞信号转导研究,任东涛,中国农业大学,200,2012-01至2015-12
71188001,G0110,人因工程与决策行为分析,饶培伦,清华大学,140,2012-01至2015-12
41125010,D0207,石油与天然气地质学,邱楠生,中国石油大学（北京）,200,2012-01至2015-12
41125016,D041004,空间高能粒子的传播过程研究,秦刚,中国科学院国家空间科学中心,200,2012-01至2015-12
51125018,E0410,湿法冶金,齐涛,中国科学院过程工程研究所,200,2012-01至2015-12
41125004,D010105,全球变化与陆地生态系统,朴世龙,北京大学,200,2012-01至2015-12
11125209,A020204,复杂机电系统非线性动力学频域辨识方法,彭志科,上海交通大学,200,2012-01至2015-12
11125101,A010601,非线性泛函分析,彭双阶,华中师范大学,140,2012-01至2015-12
81125002,H0811,原发免疫性血小板减少症免疫耐受研究,彭军,山东大学,200,2012-01至2015-12
81125014,H0605,运动医学,欧阳宏伟,浙江大学,200,2012-01至2015-12
11125212,A020413,磁约束核聚变环境下液态金属磁流体力学效应的研究,倪明玖,中国科学院大学,200,2012-01至2015-12
71125002,G01,技术演化与能源系统分析,马铁驹,华东理工大学,140,2012-01至2015-12
11125105,A010802,非线性椭圆偏微分方程,麻希南,中国科学技术大学,140,2012-01至2015-12
21125626,B080305,聚合反应工程,罗英武,浙江大学,200,2012-01至2015-12
81125006,H0726,内分泌代谢病学,罗湘杭,中南大学,200,2012-01至2015-12
51125011,E0305,高分子纳米复合材料,刘天西,复旦大学,200,2012-01至2015-12
81125001,H0316,炎性及感染性肝病,刘杰,复旦大学,200,2012-01至2015-12
51125002,E0102,液态金属的非平衡凝固及其相关固态转变,刘峰,西北工业大学,200,2012-01至2015-12
21125730,B060106,环境化学,林璋,华南理工大学,200,2012-01至2015-12
81125004,H0420,妇产科学——母-胎免疫识别和耐受及相关疾病,林羿,上海交通大学,200,2012-01至2015-12
51125022,E0503,机械系统动态监测、诊断与维护,林京,西安交通大学,200,2012-01至2015-12
